"city","datetime","pollutant","forecast_value"
"X1345A","22.2083333333333","PM2.5",44.1164752772938
"X1345A","22.25","PM2.5",44.1164752772938
"X1345A","22.2916666666667","PM2.5",44.1164752772938
"X1345A","22.3333333333333","PM2.5",44.1164752772938
"X1345A","22.375","PM2.5",44.1164752772938
"X1345A","22.4166666666667","PM2.5",44.1164752772938
"X1345A","22.4583333333333","PM2.5",44.1164752772938
"X1345A","22.5","PM2.5",44.1164752772938
"X1345A","22.5416666666667","PM2.5",44.1164752772938
"X1345A","22.5833333333333","PM2.5",44.1164752772938
"X1345A","22.625","PM2.5",44.1164752772938
"X1345A","22.6666666666667","PM2.5",44.1164752772938
"X1345A","22.7083333333333","PM2.5",44.1164752772938
"X1345A","22.75","PM2.5",44.1164752772938
"X1345A","22.7916666666667","PM2.5",44.1164752772938
"X1345A","22.8333333333333","PM2.5",44.1164752772938
"X1345A","22.875","PM2.5",44.1164752772938
"X1345A","22.9166666666667","PM2.5",44.1164752772938
"X1345A","22.9583333333333","PM2.5",44.1164752772938
"X1345A","23","PM2.5",44.1164752772938
"X1345A","23.0416666666667","PM2.5",44.1164752772938
"X1345A","23.0833333333333","PM2.5",44.1164752772938
"X1345A","23.125","PM2.5",44.1164752772938
"X1345A","23.1666666666667","PM2.5",44.1164752772938
"X1345A","23.2083333333333","PM2.5",44.1164752772938
"X1345A","23.25","PM2.5",44.1164752772938
"X1345A","23.2916666666667","PM2.5",44.1164752772938
"X1345A","23.3333333333333","PM2.5",44.1164752772938
"X1345A","23.375","PM2.5",44.1164752772938
"X1345A","23.4166666666667","PM2.5",44.1164752772938
"X1345A","23.4583333333333","PM2.5",44.1164752772938
"X1345A","23.5","PM2.5",44.1164752772938
"X1345A","23.5416666666667","PM2.5",44.1164752772938
"X1345A","23.5833333333333","PM2.5",44.1164752772938
"X1345A","23.625","PM2.5",44.1164752772938
"X1345A","23.6666666666667","PM2.5",44.1164752772938
"X1345A","23.7083333333333","PM2.5",44.1164752772938
"X1345A","23.75","PM2.5",44.1164752772938
"X1432A","19.2083333333333","PM2.5",106.044639616115
"X1432A","19.25","PM2.5",103.375002776226
"X1432A","19.2916666666667","PM2.5",100.428294314541
"X1432A","19.3333333333333","PM2.5",97.4764581167085
"X1432A","19.375","PM2.5",94.6831526783716
"X1432A","19.4166666666667","PM2.5",92.1394541739621
"X1432A","19.4583333333333","PM2.5",89.8876297043409
"X1432A","19.5","PM2.5",87.9376475941109
"X1432A","19.5416666666667","PM2.5",86.2789182694289
"X1432A","19.5833333333333","PM2.5",84.8886877714347
"X1432A","19.625","PM2.5",83.7379645699613
"X1432A","19.6666666666667","PM2.5",82.795583036846
"X1432A","19.7083333333333","PM2.5",82.030857812375
"X1432A","19.75","PM2.5",81.415191545655
"X1432A","19.7916666666667","PM2.5",80.9229298343226
"X1432A","19.8333333333333","PM2.5",80.5316979148725
"X1432A","19.875","PM2.5",80.2224003499992
"X1432A","19.9166666666667","PM2.5",79.9790181618883
